id;FreqGroup;Counterbalance;Collected?
1;H;4;
2;H;2;
3;L;1;
4;H;3;
5;L;3;
6;L;2;
7;L;4;
8;H;1;
9;H;4;
10;H;3;
11;L;4;
12;L;1;
13;L;2;
14;L;3;
15;H;2;
16;H;1;
17;L;3;
18;L;2;
19;H;2;
20;H;4;
21;H;1;
22;L;4;
23;H;3;
24;L;1;
25;H;1;
26;H;2;
27;H;3;
28;L;1;
29;L;3;
30;H;4;
31;L;4;
32;L;2;
33;L;1;
34;H;1;
35;H;3;
36;L;4;
37;L;3;
38;H;2;
39;H;4;
40;L;2;
41;H;4;
42;H;2;
43;L;3;
44;H;3;
45;L;2;
46;L;1;
47;H;1;
48;L;4;
49;L;3;
50;H;3;
51;H;4;
52;L;4;
53;L;2;
54;L;1;
55;H;1;
56;H;2;
57;H;4;
58;L;2;
59;H;1;
60;L;3;
61;H;2;
62;L;4;
63;H;3;
64;L;1;
